Врач, Няня, Продавец
Повар, Учитель, Водитель
Инженер, Бухгалтер, Официант
Фармацевт, Механик, Парикмахер
Архитектор, Строитель, Сантехник
Программист, Дизайнер, Аналитик
Фотограф, Редактор, Журналист
Экономист, Менеджер, Юрист
Полицейский, Пожарный, Спасатель
Медсестра, Хирург, Терапевт
Актёр, Режиссёр, Сценарист
Художник, Иллюстратор, Арт-директор
Психолог, Социолог, Коуч
Пилот, Стюардесса, Диспетчер
Фермер, Агроном, Ветеринар
Маркетолог, Копирайтер, SMM-специалист
Библиотекарь, Архивариус, Музейный работник
Переводчик, Лингвист, Филолог
Тренер, Инструктор, Спортсмен
Геолог, Эколог, Биолог
Химик, Физик, Математик
Секретарь, Рекрутер, Координатор
Бармен, Бариста, Сомелье
Токарь, Сварщик, Электрик
Охранник, Детектив, Судебный пристав
Делопроизводитель, Кассир, Бухгалтер
Консьерж, Горничная, Администратор
Логист, Экспедитор, Курьер
Тату-мастер, Косметолог, Массажист
Флорист, Ландшафтный дизайнер, Садовник
Менеджер по продажам, Оператор колл-центра, Специалист по работе с клиентами
Инспектор, Контролёр, Ревизор
Декоратор, Модельер, Стилист
Зоотехник, Орнитолог, Ихтиолог
Разработчик игр, Тестировщик, UX-дизайнер
Авиатехник, Судомеханик, Железнодорожник
Фондовый аналитик, Брокер, Финансовый консультант
Картограф, Урбанист, Геодезист
Судья, Нотариус, Прокурор
Пекарь, Кондитер, Технолог пищевого производства
Оператор станка, Монтажник, Сборщик
Работник склада, Комплектовщик, Грузчик
Руководитель проекта, Scrum-мастер, Продукт-менеджер
Видеомонтажёр, Звукорежиссёр, Аниматор
IT-архитектор, DevOps-инженер, Системный администратор
Психиатр, Невролог, Реабилитолог
Моряк, Капитан судна, Штурман
Бортпроводник, Таможенник, Пограничник
Оператор дрона, Специалист по робототехнике, Инженер-конструктор
Актер озвучки, Радиоведущий, Телеведущий
